captured_at,url,http_status,title,h1,canonical,gsc_status
2026-08-04T12:09:06+08:00,https://growagarden2.pro/,200,Grow a Garden 2 Tools Hub,Grow Smarter Than Rumors,https://growagarden2.pro/,unavailable
2026-08-04T12:09:06+08:00,https://growagarden2.pro/grow-a-garden-2-calculator/,200,Grow a Garden 2 Calculator | GAG2 Tools,Value Calculator,https://growagarden2.pro/grow-a-garden-2-calculator/,unavailable
